,fee,names,ratings,repeat,response_time,review,services,title,boarding,sitting,daycare,checkups,walking,bathing,training,grooming,pickup/dropoff
192,25.0,Ahwatukee Pooch Palace,0.0,0,1,0,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
193,25.0,Pawcation,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
194,28.0,Safe & Sound Doggy Time,5.0,1,1,31,2,"Phoenix, Arizona",1,0,0,0,0,0,0,0,1
195,30.0,Ruff Life Dog Retreat,5.0,6,1,12,4,"Phoenix, Arizona",1,0,1,0,1,1,0,0,0
196,26.0,Amazing Stays,5.0,1,2,1,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
197,30.0,Beagle Board $10 off 1st booking,0.0,1,1,0,3,"Phoenix, Arizona",1,0,1,0,0,0,0,0,1
198,32.0,PAWfect Playhouse for Your BFF!!!!!,5.0,2,2,50,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
199,28.0,Doggie Stay..all breeds all sizes,5.0,1,3,43,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
200,30.0,PERSONAL PET RESORT,5.0,0,1,1,2,"Phoenix, Arizona",1,0,1,0,0,0,0,0,0
201,25.0,Happy Tails Petsitting,5.0,1,1,2,3,"Phoenix, Arizona",1,0,1,0,1,0,0,0,0
202,35.0,Dogwood Lodge,5.0,4,3,6,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
203,40.0,Reliable Pet Sitter,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
204,25.0,Ashley's Stay at Home Boarding!,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
205,35.0,Puppy Paradise at Westgate,5.0,2,2,1,4,"Phoenix, Arizona",1,0,1,0,1,0,0,1,0
206,40.0,Aloha Pet Paradise,0.0,0,3,0,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
207,30.0,Auntie Tarah,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,0,0,0,1
208,25.0,Misty's Doggie Vacations,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
209,25.0,Puppy Playdate Home,5.0,3,1,4,4,"Phoenix, Arizona",1,1,1,0,1,0,0,0,0
210,28.0,Safe & Sound Doggy Time,5.0,1,1,31,2,"Phoenix, Arizona",1,0,0,0,0,0,0,0,1
211,30.0,Ruff Life Dog Retreat,5.0,6,1,12,4,"Phoenix, Arizona",1,0,1,0,1,1,0,0,0
212,30.0,Dog lover!! Full time home!,5.0,0,1,1,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
213,35.0,Poochie Play Pals Sitting & Walking,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
214,30.0,Hayden's Happy Hounds,0.0,1,1,0,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
215,35.0,Dogwood Lodge,5.0,4,3,6,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
216,40.0,Rochelle's Pet Care,5.0,1,1,1,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
217,25.0,A&J's Doggie Vacay,0.0,0,1,0,4,"Phoenix, Arizona",1,1,1,1,0,0,0,0,0
218,35.0,The Pampered Pet Palace in Chandler,5.0,2,1,90,3,"Phoenix, Arizona",1,0,1,0,1,0,0,0,0
219,25.0,Gabys pet boarding,0.0,0,1,0,4,"Phoenix, Arizona",1,0,1,1,1,0,0,0,0
220,40.0,Bonnie's Pet Services,0.0,0,1,0,4,"Phoenix, Arizona",0,1,0,1,1,1,0,0,0
221,30.0,Puppy Sleepover,0.0,0,1,0,1,"Phoenix, Arizona",1,0,0,0,0,0,0,0,0
222,40.0,Fur-vana,0.0,0,1,0,2,"Phoenix, Arizona",1,0,0,1,0,0,0,0,0
